CNAE|Subdivisao
01.1|Produção de<br>lavouras<br>temporárias
01.2|Horticultura e<br>floricultura
01.3|Produção de<br>lavouras<br>permanentes
01.4|Produção de<br>sementes e<br>mudas<br>certificadas
01.5|Pecuária
01.6|Atividades de<br>apoio à<br>agricultura e<br>à pecuária...
01.7|Caça e<br>serviços<br>relacionados
02.1|Produção<br>florestal -<br>florestas<br>plantadas
02.2|Produção<br>florestal -<br>florestas<br>nativas
02.3|Atividades de<br>apoio à<br>produção<br>florestal
03.1|Pesca
03.2|Aquicultura
05.0|Extração de<br>carvão<br>mineral
06.0|Extração de<br>petróleo e<br>gás natural
07.1|Extração de<br>minério de<br>ferro
07.2|Extração de<br>minerais<br>metálicos não<br>ferrosos
08.1|Extração de<br>pedra, areia e<br>argila
08.9|Extração de<br>outros<br>minerais não<br>metálicos
09.1|Atividades de<br>apoio à<br>extração de<br>petróleo...
09.9|Atividades de<br>apoio à<br>extração de<br>minerais...
10.1|Abate e<br>fabricação de<br>produtos de<br>carne
10.2|Preservação do<br>pescado e<br>fabricação de<br>produtos...
10.3|Fabricação de<br>conservas de<br>frutas,<br>legumes...
10.4|Fabricação de<br>óleos e<br>gorduras<br>vegetais...
10.5|Laticínios
10.6|Moagem,<br>fabricação de<br>produtos<br>amiláceos...
10.7|Fabricação e<br>refino de<br>açúcar
10.8|Torrefação e<br>moagem de<br>café
10.9|Fabricação de<br>outros<br>produtos<br>alimentícios
11.1|Fabricação de<br>bebidas<br>alcoólicas
11.2|Fabricação de<br>bebidas não<br>alcoólicas
12.1|Processamento<br>industrial do<br>fumo
12.2|Fabricação de<br>produtos do<br>fumo
13.1|Preparação e<br>fiação de<br>fibras<br>têxteis
13.2|Tecelagem,<br>exceto malha
13.3|Fabricação de<br>tecidos de<br>malha
13.4|Acabamentos em<br>fios, tecidos e<br>artefatos<br>têxteis
13.5|Fabricação de<br>artefatos<br>têxteis, exceto<br>vestuário
14.1|Confecção de<br>artigos do<br>vestuário e<br>acessórios
14.2|Fabricação de<br>artigos de<br>malharia e<br>tricotagem
15.1|Curtimento e<br>outras<br>preparações de<br>couro
15.2|Fabricação de<br>artigos para<br>viagem e de<br>artefatos...
15.3|Fabricação de<br>calçados
15.4|Fabricação de<br>partes para<br>calçados, de<br>qualquer...
16.1|Desdobramento<br>de madeira
16.2|Fabricação de<br>produtos de<br>madeira,<br>cortiça...
17.1|Fabricação de<br>celulose e<br>outras pastas<br>para a...
17.2|Fabricação de<br>papel,<br>cartolina e<br>papel-cartão
17.3|Fabricação de<br>embalagens de<br>papel,<br>cartolina...
17.4|Fabricação de<br>produtos<br>diversos de<br>papel...
18.1|Atividade de<br>impressão
18.2|Serviços de<br>pré-impressão e<br>acabamentos<br>gráficos
18.3|Reprodução de<br>materiais<br>gravados em<br>qualquer...
19.1|Coquerias
19.2|Fabricação de<br>produtos<br>derivados do<br>petróleo
19.3|Fabricação de<br>biocombustíveis
20.1|Fabricação de<br>produtos<br>químicos<br>inorgânicos
20.2|Fabricação de<br>produtos<br>químicos<br>orgânicos
20.3|Fabricação de<br>resinas e<br>elastômeros
20.4|Fabricação de<br>fibras<br>artificiais e<br>sintéticas
20.5|Fabricação de<br>defensivos<br>agrícolas e<br>desinfestantes...
20.6|Fabricação de<br>sabões,<br>detergentes,<br>produtos...
20.7|Fabricação de<br>tintas,<br>vernizes,<br>esmaltes...
20.9|Fabricação de<br>produtos e<br>preparados<br>químicos...
21.1|Fabricação de<br>produtos<br>farmoquímicos
21.2|Fabricação de<br>produtos<br>farmacêuticos
22.1|Fabricação de<br>produtos de<br>borracha
22.2|Fabricação de<br>produtos de<br>material<br>plástico
23.1|Fabricação de<br>vidro e de<br>produtos do<br>vidro
23.2|Fabricação de<br>cimento
23.3|Fabricação de<br>artefatos de<br>concreto,<br>cimento...
23.4|Fabricação de<br>produtos<br>cerâmicos
23.9|Aparelhamento<br>de pedras e<br>fabricação de<br>outros...
24.1|Produção de<br>ferro-gusa e de<br>ferroligas
24.2|Siderurgia
24.3|Produção de<br>tubos de aço,<br>exceto tubos<br>sem...
24.4|Metalurgia dos<br>metais não<br>ferrosos
24.5|Fundição
25.1|Fabricação de<br>estruturas<br>metálicas e<br>obras de...
25.2|Fabricação de<br>tanques,<br>reservatórios<br>metálicos...
25.3|Forjaria,<br>estamparia,<br>metalurgia do<br>pó...
25.4|Fabricação de<br>artigos de<br>cutelaria, de<br>serralheria...
25.5|Fabricação de<br>equipamento<br>bélico pesado,<br>armas...
25.9|Fabricação de<br>produtos de<br>metal não<br>especificados...
26.1|Fabricação de<br>componentes<br>eletrônicos
26.2|Fabricação de<br>equipamentos de<br>informática e<br>periféricos
26.3|Fabricação de<br>equipamentos de<br>comunicação
26.4|Fabricação de<br>aparelhos de<br>recepção,<br>reprodução...
26.5|Fabricação de<br>aparelhos e<br>instrumentos de<br>medida...
26.6|Fabricação de<br>aparelhos<br>eletromédicos e<br>eletroterapêuticos...
26.7|Fabricação de<br>equipamentos e<br>instrumentos<br>ópticos...
26.8|Fabricação de<br>mídias virgens,<br>magnéticas e<br>ópticas
27.1|Fabricação de<br>geradores,<br>transformadores<br>e motores...
27.2|Fabricação de<br>pilhas,<br>baterias e<br>acumuladores...
27.3|Fabricação de<br>equipamentos<br>para<br>distribuição...
27.4|Fabricação de<br>lâmpadas e<br>outros<br>equipamentos...
27.5|Fabricação de<br>eletrodomésticos
27.9|Fabricação de<br>equipamentos e<br>aparelhos<br>elétricos...
28.1|Fabricação de<br>motores,<br>bombas,<br>compressores...
28.2|Fabricação de<br>máquinas e<br>equipamentos de<br>uso geral
28.3|Fabricação de<br>tratores e de<br>máquinas e<br>equipamentos...
28.4|Fabricação de<br>máquinas-<br>ferramenta
28.5|Fabricação de<br>máquinas e<br>equipamentos de<br>uso na...
28.6|Fabricação de<br>máquinas e<br>equipamentos de<br>uso industrial...
29.1|Fabricação de<br>automóveis,<br>camionetas e<br>utilitários
29.2|Fabricação de<br>caminhões e<br>ônibus
29.3|Fabricação de<br>cabines,<br>carrocerias e<br>reboques...
29.4|Fabricação de<br>peças e<br>acessórios para<br>veículos...
